timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/25 06:39:52.876, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.25 W
2026/09/25 06:39:53.076, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.28 W
2026/09/25 06:39:53.276, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.28 W
2026/09/25 06:39:53.477, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.28 W
2026/09/25 06:39:53.677, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.28 W
2026/09/25 06:39:53.877, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.28 W
2026/09/25 06:39:54.077, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.33 W
2026/09/25 06:39:54.278, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.33 W
2026/09/25 06:39:54.478, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.33 W
2026/09/25 06:39:54.678, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.33 W
2026/09/25 06:39:54.879, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.33 W
2026/09/25 06:39:55.079, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:55.279, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:55.480, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:55.680, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:55.880, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:56.080, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:56.281, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:56.481, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:56.681, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:56.882, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:57.082, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:57.282, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:57.483, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:57.683, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:57.883, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.30 W
2026/09/25 06:39:58.083, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:58.284, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:58.484, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:58.684, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:58.885, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.32 W
2026/09/25 06:39:59.085, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.31 W
2026/09/25 06:39:59.285, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.31 W
2026/09/25 06:39:59.486, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.31 W
2026/09/25 06:39:59.686, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.31 W
2026/09/25 06:39:59.886, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.31 W
2026/09/25 06:40:00.086, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:40:00.287, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:40:00.487, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:40:00.687, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:40:00.888, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.27 W
2026/09/25 06:40:01.088, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.26 W
2026/09/25 06:40:01.288, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.26 W
2026/09/25 06:40:01.488, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.26 W
2026/09/25 06:40:01.689, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.26 W
2026/09/25 06:40:01.889, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.26 W
2026/09/25 06:40:02.089, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.24 W
2026/09/25 06:40:02.289, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.24 W
2026/09/25 06:40:02.490, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.24 W
2026/09/25 06:40:02.690, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.24 W
2026/09/25 06:40:02.890, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.24 W
